,date,website,sport,fixture,country,league,market,selection,price,kickoff
0,2017-04-21 17:16,www.oddschecker.com,football,bournemouth-v-middlesbrough,english,premier-league,winner,Bournemouth,1.91,2017-04-22 15:00
1,2017-04-21 17:16,www.oddschecker.com,football,bournemouth-v-middlesbrough,english,premier-league,winner,Draw,3.8,2017-04-22 15:00
2,2017-04-21 17:16,www.oddschecker.com,football,bournemouth-v-middlesbrough,english,premier-league,winner,Middlesbrough,4.6,2017-04-22 15:00
3,2017-04-21 17:16,www.oddschecker.com,football,bournemouth-v-middlesbrough,english,premier-league,first-goalscorer,Joshua King,6.0,2017-04-22 15:00
4,2017-04-21 17:16,www.oddschecker.com,football,bournemouth-v-middlesbrough,english,premier-league,first-goalscorer,Benik Afobe,7.0,2017-04-22 15:00
5,2017-04-21 17:16,www.oddschecker.com,football,bournemouth-v-middlesbrough,english,premier-league,first-goalscorer,Lys Mousset,8.0,2017-04-22 15:00
6,2017-04-21 17:16,www.oddschecker.com,football,bournemouth-v-middlesbrough,english,premier-league,first-goalscorer,Alvaro Negredo,8.0,2017-04-22 15:00
7,2017-04-21 17:16,www.oddschecker.com,football,bournemouth-v-middlesbrough,english,premier-league,first-goalscorer,Junior Stanislas,8.5,2017-04-22 15:00
8,2017-04-21 17:16,www.oddschecker.com,football,bournemouth-v-middlesbrough,english,premier-league,first-goalscorer,Rudy Gestede,9.0,2017-04-22 15:00
9,2017-04-21 17:16,www.oddschecker.com,football,bournemouth-v-middlesbrough,english,premier-league,first-goalscorer,Cristhian Stuani,10.0,2017-04-22 15:00
10,2017-04-21 17:16,www.oddschecker.com,football,bournemouth-v-middlesbrough,english,premier-league,first-goalscorer,Max Gradel,11.0,2017-04-22 15:00
11,2017-04-21 17:16,www.oddschecker.com,football,bournemouth-v-middlesbrough,english,premier-league,first-goalscorer,No Goalscorer,12.0,2017-04-22 15:00
12,2017-04-21 17:16,www.oddschecker.com,football,bournemouth-v-middlesbrough,english,premier-league,first-goalscorer,Patrick Bamford,12.0,2017-04-22 15:00
13,2017-04-21 17:16,www.oddschecker.com,football,bournemouth-v-middlesbrough,english,premier-league,first-goalscorer,Marc Pugh,12.0,2017-04-22 15:00
14,2017-04-21 17:16,www.oddschecker.com,football,bournemouth-v-middlesbrough,english,premier-league,first-goalscorer,Harry Arter,12.0,2017-04-22 15:00
