,date,website,sport,fixture,country,league,market,selection,price,kickoff
0,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,winner,Bayern Munich,1.25,2017-04-22 14:30
1,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,winner,Draw,8.3,2017-04-22 14:30
2,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,winner,Mainz 05,18.5,2017-04-22 14:30
3,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Robert Lewandowski,3.25,2017-04-22 14:30
4,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Arjen Robben,5,2017-04-22 14:30
5,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Thomas Muller,5,2017-04-22 14:30
6,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Fabian Benko,6,2017-04-22 14:30
7,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Douglas Costa,6.5,2017-04-22 14:30
8,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Arturo Vidal,7.5,2017-04-22 14:30
9,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Franck Ribery,7.5,2017-04-22 14:30
10,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Kingsley Coman,7.5,2017-04-22 14:30
11,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Thiago Alcantara,7.5,2017-04-22 14:30
12,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Joshua Kimmich,8.5,2017-04-22 14:30
13,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Felix Gotze,11,2017-04-22 14:30
14,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,David Alaba,15,2017-04-22 14:30
15,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Renato Sanches,15,2017-04-22 14:30
16,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Nicolas Feldhahn,17,2017-04-22 14:30
17,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Xabi Alonso,17,2017-04-22 14:30
18,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Any Other Player,18,2017-04-22 14:30
19,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Juan Bernat,19,2017-04-22 14:30
20,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Bojan,21,2017-04-22 14:30
21,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Mats Hummels,21,2017-04-22 14:30
22,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Niklas Dorsch,21,2017-04-22 14:30
23,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Jairo Samperio,22,2017-04-22 14:30
24,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Jhon Cordoba,23,2017-04-22 14:30
25,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,No Goalscorer,23,2017-04-22 14:30
26,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Pablo De Blasis,23,2017-04-22 14:30
27,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Yoshinori Muto,23,2017-04-22 14:30
28,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Javi Martinez,26,2017-04-22 14:30
29,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Levin Oztunali,26,2017-04-22 14:30
30,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Philipp Lahm,26,2017-04-22 14:30
31,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Aaron Seydel,29,2017-04-22 14:30
32,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Danny Latza,29,2017-04-22 14:30
33,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Emil Berggreen,29,2017-04-22 14:30
34,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Karim Onisiwo,29,2017-04-22 14:30
35,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Mounir Bouziane,29,2017-04-22 14:30
36,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Robin Quaison,29,2017-04-22 14:30
37,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Gerrit Holtmann,34,2017-04-22 14:30
38,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Rafinha,34,2017-04-22 14:30
39,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Besar Halimi,41,2017-04-22 14:30
40,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Jerome Boateng,41,2017-04-22 14:30
41,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Philipp Klement,51,2017-04-22 14:30
42,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Andre Ramalho,61,2017-04-22 14:30
43,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Fabian Frei,71,2017-04-22 14:30
44,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Stefan Bell,71,2017-04-22 14:30
45,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Suat Serdar,71,2017-04-22 14:30
46,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Daniel Brosinski,81,2017-04-22 14:30
47,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Gaetan Bussmann,81,2017-04-22 14:30
48,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Marin Sverko,81,2017-04-22 14:30
49,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Leon Balogun,91,2017-04-22 14:30
50,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Alexander Hack,101,2017-04-22 14:30
51,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Jean-Philippe Gbamin,101,2017-04-22 14:30
52,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Niko Bungert,101,2017-04-22 14:30
53,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,first-goalscorer,Giulio Donati,201,2017-04-22 14:30
54,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,both-teams-to-score,No,1.9,2017-04-22 14:30
55,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,both-teams-to-score,Yes,2.11,2017-04-22 14:30
56,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,correct-score,Bayern Munich 2-0,7,2017-04-22 14:30
57,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,correct-score,Bayern Munich 3-0,7.75,2017-04-22 14:30
58,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,correct-score,Bayern Munich 1-0,9.2,2017-04-22 14:30
59,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,correct-score,Bayern Munich 2-1,10.5,2017-04-22 14:30
60,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,correct-score,Bayern Munich 3-1,11.5,2017-04-22 14:30
61,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,correct-score,Bayern Munich 4-0,12,2017-04-22 14:30
62,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,correct-score,Any Other Score,13,2017-04-22 14:30
63,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,correct-score,Draw 1-1,14,2017-04-22 14:30
64,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,correct-score,Bayern Munich 4-1,16,2017-04-22 14:30
65,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,correct-score,Bayern Munich 5-0,23,2017-04-22 14:30
66,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,correct-score,Draw 0-0,26,2017-04-22 14:30
67,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,correct-score,Bayern Munich 5-1,29,2017-04-22 14:30
68,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,correct-score,Draw 2-2,31,2017-04-22 14:30
69,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,correct-score,Bayern Munich 3-2,34,2017-04-22 14:30
70,2017-04-22 05:31,www.oddschecker.com,football,bayern-munich-v-mainz-05,germany,bundesliga,correct-score,Mainz 05 2-1,41,2017-04-22 14:30
