,date,website,sport,fixture,country,league,market,selection,price,kickoff
0,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,winner,Cadiz,2.67,2017-04-22 17:00
1,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,winner,Draw,3.1,2017-04-22 17:00
2,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,winner,Levante,3.25,2017-04-22 17:00
3,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Alfredo Ortuno,4.9,2017-04-22 17:00
4,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Roger Marti Salvador,5.5,2017-04-22 17:00
5,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Daniel Guiza,6.1,2017-04-22 17:00
6,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,No Goalscorer,6.65,2017-04-22 17:00
7,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Juan Munoz,7.5,2017-04-22 17:00
8,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Gaston Del Castillo,8.0,2017-04-22 17:00
9,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Gorka Santamaria,8.0,2017-04-22 17:00
10,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Jason Remeseiro,8.0,2017-04-22 17:00
11,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Jesus Imaz,8.0,2017-04-22 17:00
12,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Victor Casadesus,8.0,2017-04-22 17:00
13,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Ager Aketxe,9.0,2017-04-22 17:00
14,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Aitor Garcia,9.0,2017-04-22 17:00
15,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Alvaro Garcia,9.0,2017-04-22 17:00
16,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Ruben Cruz,9.0,2017-04-22 17:00
17,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Salva Sanchez,9.0,2017-04-22 17:00
18,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Ruben Garcia,10.0,2017-04-22 17:00
19,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Jose Luis Morales,11.0,2017-04-22 17:00
20,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Paco Montanes,11.0,2017-04-22 17:00
21,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Javier Espinosa,11.5,2017-04-22 17:00
22,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Nico Hidalgo,15.0,2017-04-22 17:00
23,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Jose Campana,16.0,2017-04-22 17:00
24,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Natxo Insa,16.0,2017-04-22 17:00
25,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Eddy Silvestre,18.0,2017-04-22 17:00
26,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Jon Ander Garrido,20.0,2017-04-22 17:00
27,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Rafidine Abdullah,20.0,2017-04-22 17:00
28,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Verza,20.0,2017-04-22 17:00
29,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Jose Maria Martin Bejarano-Serrano,22.0,2017-04-22 17:00
30,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Jefferson Lerma,25.0,2017-04-22 17:00
31,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Ivan Malon,26.0,2017-04-22 17:00
32,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Abraham Minero,29.0,2017-04-22 17:00
33,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Rober,29.0,2017-04-22 17:00
34,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Luis Ruiz,31.0,2017-04-22 17:00
35,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Ivan Lopez,35.0,2017-04-22 17:00
36,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Aridane Hernandez,39.0,2017-04-22 17:00
37,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Brian Olivan,39.0,2017-04-22 17:00
38,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Javier Carpio,39.0,2017-04-22 17:00
39,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Khalifa Sankare,39.0,2017-04-22 17:00
40,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Migue,39.0,2017-04-22 17:00
41,2017-04-22 16:53,www.oddschecker.com,football,cadiz-v-levante,spain,la-liga-segunda,first-goalscorer,Servando Sanchez,39.0,2017-04-22 17:00
